,,,,,,
//Sieve out the display of the data.
------------------------------------------------------------------------------------------------
The style of the Data's display of Bus is Hexadecimal.
A Bar position: 27.6975ms 	T Bar position: 0ns 	B Bar position: 27.8795ms
//Channel name,| Bus1,*A0,*A1,*A2,COUNT,
     60.211ms,Unknown,0,1,1,1,
     60.2115ms,Unknown,0,1,1,1,
     60.212ms,Unknown,0,1,1,1,
     60.2125ms,Unknown,0,1,1,1,
     60.213ms,Unknown,0,1,1,1,
     60.2135ms,Unknown,0,1,1,1,
     60.214ms,Unknown,0,1,1,1,
     60.2145ms,Unknown,0,1,1,1,
     60.215ms,Unknown,0,1,1,1,
     60.2155ms,Unknown,0,1,1,1,
     60.216ms,Unknown,0,1,1,1,
     60.2165ms,Unknown,0,1,1,1,
     60.217ms,Unknown,0,1,1,1,
     60.2175ms,Unknown,0,1,1,1,
     60.218ms,Unknown,0,1,1,1,
     60.2185ms,Unknown,0,1,1,1,
     60.219ms,Unknown,0,1,1,1,
     60.2195ms,Unknown,0,1,1,1,
     60.22ms,Unknown,0,1,1,1,
     60.2205ms,Unknown,0,1,1,1,
     60.221ms,Unknown,0,1,1,1,
     60.2215ms,Unknown,0,1,1,1,
     60.222ms,Unknown,0,1,1,1,
     60.2225ms,Unknown,0,1,1,1,
     60.223ms,Unknown,0,1,1,1,
     60.2235ms,Unknown,0,1,1,1,
     60.224ms,Unknown,0,1,1,1,
     60.2245ms,Unknown,0,1,1,1,
     60.225ms,Unknown,0,1,1,1,
     60.2255ms,Unknown,0,1,1,1,
     60.226ms,Unknown,0,1,1,1,
     60.2265ms,Unknown,0,1,1,1,
     60.227ms,Unknown,0,1,1,1,
     60.2275ms,Unknown,0,1,1,1,
     60.228ms,Unknown,0,1,1,1,
     60.2285ms,Unknown,0,1,1,1,
     60.229ms,Unknown,0,1,1,1,
     60.2295ms,Unknown,0,1,1,1,
     60.23ms,Unknown,0,1,1,1,
     60.2305ms,Unknown,0,1,1,1,
     60.231ms,Unknown,0,1,1,1,
     60.2315ms,Unknown,0,1,1,1,
     60.232ms,Unknown,0,1,1,1,
     60.2325ms,Unknown,0,1,1,1,
     60.233ms,Unknown,0,1,1,1,
     60.2335ms,Unknown,0,1,1,1,
     60.234ms,Unknown,0,1,1,1,
     60.2345ms,Unknown,0,1,1,1,
     60.235ms,Unknown,0,1,1,1,
     60.2355ms,Unknown,0,1,1,1,
     60.236ms,Unknown,0,1,1,1,
     60.2365ms,Unknown,0,1,1,1,
     60.237ms,Unknown,0,1,1,1,
     60.2375ms,Unknown,0,1,1,1,
     60.238ms,Unknown,0,1,1,1,
     60.2385ms,Unknown,0,1,1,1,
     60.239ms,Unknown,0,1,1,1,
     60.2395ms,Unknown,0,1,1,1,
     60.24ms,Unknown,0,1,1,1,
     60.2405ms,Unknown,0,1,1,1,
     60.241ms,Unknown,0,1,1,1,
     60.2415ms,Unknown,0,1,1,1,
     60.242ms,Unknown,0,1,1,1,
     60.2425ms,Unknown,0,1,1,1,
     60.243ms,Unknown,0,1,1,1,
     60.2435ms,Unknown,0,1,1,1,
     60.244ms,Unknown,0,1,1,1,
     60.2445ms,Unknown,0,1,1,1,
     60.245ms,Unknown,0,1,1,1,
     60.2455ms,Unknown,0,1,1,1,
     60.246ms,Unknown,0,1,1,1,
     60.2465ms,Unknown,0,1,1,1,
     60.247ms,Unknown,0,1,1,1,
     60.2475ms,Unknown,0,1,1,1,
     60.248ms,Unknown,0,1,1,1,
     60.2485ms,Unknown,0,1,1,1,
     60.249ms,Unknown,0,1,1,1,
     60.2495ms,Unknown,0,1,1,1,
     60.25ms,Unknown,0,1,1,1,
     60.2505ms,Unknown,0,1,1,1,
     60.251ms,Unknown,0,1,1,1,
     60.2515ms,Unknown,0,1,1,1,
     60.252ms,Unknown,0,1,1,1,
     60.2525ms,Unknown,0,1,1,1,
     60.253ms,Unknown,0,1,1,1,
     60.2535ms,Unknown,0,1,1,1,
     60.254ms,Unknown,0,1,1,1,
     60.2545ms,Unknown,0,1,1,1,
     60.255ms,Unknown,0,1,1,1,
     60.2555ms,Unknown,0,1,1,1,
     60.256ms,Unknown,0,1,1,1,
     60.2565ms,Unknown,0,1,1,1,
     60.257ms,Unknown,0,1,1,1,
     60.2575ms,Unknown,0,1,1,1,
     60.258ms,Unknown,0,1,1,1,
     60.2585ms,Unknown,0,1,1,1,
     60.259ms,Unknown,0,1,1,1,
     60.2595ms,Unknown,0,1,1,1,
     60.26ms,Unknown,0,1,1,1,
     60.2605ms,Unknown,0,1,1,1,
     60.261ms,Unknown,0,1,1,1,
     60.2615ms,Unknown,0,1,1,1,
     60.262ms,Unknown,0,1,1,1,
     60.2625ms,Unknown,0,1,1,1,
     60.263ms,Unknown,0,1,1,1,
     60.2635ms,Unknown,0,1,1,1,
     60.264ms,Unknown,0,1,1,1,
     60.2645ms,Unknown,0,1,1,1,
     60.265ms,Unknown,0,1,1,1,
     60.2655ms,Unknown,0,1,1,1,
     60.266ms,Unknown,0,1,1,1,
     60.2665ms,Unknown,0,1,1,1,
     60.267ms,Unknown,0,1,1,1,
     60.2675ms,Unknown,0,1,1,1,
     60.268ms,Unknown,0,1,1,1,
     60.2685ms,Unknown,0,1,1,1,
     60.269ms,Unknown,0,1,1,1,
     60.2695ms,Unknown,0,1,1,1,
     60.27ms,Unknown,0,1,1,1,
     60.2705ms,Unknown,0,1,1,1,
     60.271ms,Unknown,0,1,1,1,
     60.2715ms,Unknown,0,1,1,1,
     60.272ms,Unknown,0,1,1,1,
     60.2725ms,Unknown,0,1,1,1,
     60.273ms,Unknown,0,1,1,1,
     60.2735ms,Unknown,0,1,1,1,
     60.274ms,Unknown,0,1,1,1,
     60.2745ms,Unknown,0,1,1,1,
     60.275ms,Unknown,0,1,1,1,
     60.2755ms,Unknown,0,1,1,1,
     60.276ms,Unknown,0,1,1,1,
     60.2765ms,Unknown,0,1,1,1,
     60.277ms,Unknown,0,1,1,1,
     60.2775ms,Unknown,0,1,1,1,
     60.278ms,Unknown,0,1,1,1,
     60.2785ms,Unknown,0,1,1,1,
     60.279ms,Unknown,0,1,1,1,
     60.2795ms,Unknown,0,1,1,1,
     60.28ms,Unknown,0,1,1,1,
     60.2805ms,Unknown,0,1,1,1,
     60.281ms,Unknown,0,1,1,1,
     60.2815ms,Unknown,0,1,1,1,
     60.282ms,Unknown,0,1,1,1,
     60.2825ms,Unknown,0,1,1,1,
     60.283ms,Unknown,0,1,1,1,
     60.2835ms,Unknown,0,1,1,1,
     60.284ms,Unknown,0,1,1,1,
     60.2845ms,Unknown,0,1,1,1,
     60.285ms,Unknown,0,1,1,1,
     60.2855ms,Unknown,0,1,1,1,
     60.286ms,Unknown,0,1,1,1,
     60.2865ms,Unknown,0,1,1,1,
     60.287ms,Unknown,0,1,1,1,
     60.2875ms,Unknown,0,1,1,1,
     60.288ms,Unknown,0,1,1,1,
     60.2885ms,Unknown,0,1,1,1,
     60.289ms,Unknown,0,1,1,1,
     60.2895ms,Unknown,0,1,1,1,
     60.29ms,Unknown,0,1,1,1,
     60.2905ms,Unknown,0,1,1,1,
     60.291ms,Unknown,0,1,1,1,
     60.2915ms,Unknown,0,1,1,1,
     60.292ms,Unknown,0,1,1,1,
     60.2925ms,Unknown,0,1,1,1,
     60.293ms,Unknown,0,1,1,1,
     60.2935ms,Unknown,0,1,1,1,
     60.294ms,Unknown,0,1,1,1,
     60.2945ms,Unknown,0,1,1,1,
     60.295ms,Unknown,0,1,1,1,
     60.2955ms,Unknown,0,1,1,1,
     60.296ms,Unknown,0,1,1,1,
     60.2965ms,Unknown,0,1,1,1,
     60.297ms,Unknown,0,1,1,1,
     60.2975ms,Unknown,0,1,1,1,
     60.298ms,Unknown,0,1,1,1,
     60.2985ms,Unknown,0,1,1,1,
     60.299ms,Unknown,0,1,1,1,
     60.2995ms,Unknown,0,1,1,1,
     60.3ms,Unknown,0,1,1,1,
     60.3005ms,Unknown,0,1,1,1,
     60.301ms,Unknown,0,1,1,1,
     60.3015ms,Unknown,0,1,1,1,
     60.302ms,Unknown,0,1,1,1,
     60.3025ms,Unknown,0,1,1,1,
     60.303ms,Unknown,0,1,1,1,
     60.3035ms,Unknown,0,1,1,1,
     60.304ms,Unknown,0,1,1,1,
     60.3045ms,Unknown,0,1,1,1,
     60.305ms,Unknown,0,1,1,1,
     60.3055ms,Unknown,0,1,1,1,
     60.306ms,Unknown,0,1,1,1,
     60.3065ms,Unknown,0,1,1,1,
     60.307ms,Unknown,0,1,1,1,
     60.3075ms,Unknown,0,1,1,1,
     60.308ms,Unknown,0,1,1,1,
     60.3085ms,Unknown,0,1,1,1,
     60.309ms,Unknown,0,1,1,1,
     60.3095ms,Unknown,0,1,1,1,
     60.31ms,Unknown,0,1,1,1,
     60.3105ms,Unknown,0,1,1,1,
     60.311ms,Unknown,0,1,1,1,
     60.3115ms,Unknown,0,1,1,1,
     60.312ms,Unknown,0,1,1,1,
     60.3125ms,Unknown,0,1,1,1,
     60.313ms,Unknown,0,1,1,1,
